time,open,high,low,close,Volume,Volume MA
1420164000,1.20991,1.20991,1.2046,1.20516,9602,NaN
1420178400,1.20516,1.20696,1.20345,1.20579,46744,NaN
1420192800,1.20579,1.20582,1.20256,1.20308,37434,NaN
1420207200,1.20308,1.20335,1.20037,1.20097,52610,NaN
1420221600,1.20097,1.20155,1.1998,1.19994,13246,NaN
1420408800,1.19551,1.19761,1.18626,1.19546,46930,NaN
1420423200,1.19546,1.19653,1.19259,1.1935,26382,NaN
1420437600,1.1935,1.19761,1.19308,1.19543,51356,NaN
1420452000,1.19543,1.1957,1.1887,1.1913,62589,NaN
1420466400,1.1913,1.19414,1.19086,1.19231,52467,NaN
1420480800,1.19231,1.19495,1.19146,1.19324,16016,NaN
1420495200,1.19324,1.19462,1.19268,1.19408,15370,NaN
1420509600,1.19408,1.1958199999999999,1.19404,1.1957,18509,NaN
1420524000,1.1957,1.19686,1.19049,1.19078,50478,NaN
1420538400,1.19078,1.19194,1.1884,1.19075,57401,NaN
1420552800,1.19075,1.19586,1.18872,1.19222,76323,NaN
1420567200,1.19222,1.19363,1.1885999999999999,1.1889,31236,NaN
1420581600,1.1889,1.18908,1.18405,1.18769,25881,NaN
1420596000,1.18769,1.18802,1.18665,1.18783,19346,NaN
1420610400,1.18783,1.18964,1.18517,1.18535,61746,38583.3
1420624800,1.18535,1.1876,1.18184,1.18299,84399,42323.15
1420639200,1.18299,1.18354,1.18019,1.18292,61656,43068.75
1420653600,1.18292,1.18588,1.18078,1.18393,41855,43289.8
1420668000,1.18393,1.18473,1.18252,1.18256,17476,41533.1
1420682400,1.18256,1.18313,1.18168,1.1821,18409,41791.25
1420696800,1.1821,1.18241,1.178,1.17814,46317,41760.6
1420711200,1.17814,1.17887,1.1754,1.1787,58918,43387.4
1420725600,1.1787,1.18192,1.17716,1.18169,61989,43919.05
1420740000,1.18169,1.1817,1.17801,1.17893,18784,41728.8
1420754400,1.17893,1.1811,1.17865,1.18009,20520,40131.45
1420768800,1.18009,1.18149,1.17996,1.18102,22374,40449.35
1420783200,1.18102,1.182,1.17848,1.18159,42705,41816.1
1420797600,1.18159,1.18322,1.1762299999999999,1.17875,71903,44485.8
1420812000,1.17875,1.18447,1.17727,1.18304,90664,46495.1
1420826400,1.18304,1.1846,1.18304,1.1841,18921,44571.1
1421013600,1.18481,1.18699,1.18429,1.18568,17104,41610.15
1421028000,1.18568,1.18628,1.18452,1.18614,19836,41040.15
1421042400,1.18614,1.18708,1.1804999999999999,1.18132,49290,42210.6
1421056800,1.18132,1.1826,1.17859,1.18236,49504,43718.5
1421071200,1.18236,1.18447,1.18087,1.18258,57024,43482.4
1421085600,1.18258,1.1846,1.18253,1.18331,16281,40076.5
1421100000,1.18331,1.18481,1.1823,1.18448,19667,37977.05
1421114400,1.18448,1.18594,1.18234,1.18278,23972,37082.9
1421128800,1.18278,1.18521,1.1794,1.18083,47922,38605.2
1421143200,1.18083,1.1811099999999999,1.17668,1.17697,52081,40288.8
1421157600,1.17697,1.17997,1.1752799999999999,1.17845,58756,40910.75
1421172000,1.17845,1.17881,1.17587,1.17722,28570,39393.35
1421186400,1.17722,1.17822,1.17641,1.17735,19196,37253.7
1421200800,1.17735,1.1794499999999999,1.17676,1.17916,23919,37510.45
1421215200,1.17916,1.1811099999999999,1.17272,1.17442,73255,40147.2
1421229600,1.17442,1.18463,1.17375,1.18252,70127,42534.85
1421244000,1.18252,1.18397,1.17713,1.17876,69253,43862.25
1421258400,1.17876,1.17926,1.1775,1.17874,23811,41457.65
1421272800,1.17874,1.1792799999999999,1.17723,1.17749,17586,37803.75
1421287200,1.17749,1.17874,1.17648,1.17675,16761,37695.75
1421301600,1.17675,1.17862,1.15666,1.17228,73064,40493.75
1421316000,1.17228,1.17736,1.16662,1.16989,172551,48129.5
1421330400,1.16989,1.1703999999999999,1.15676,1.16008,140495,52689.75
1421344800,1.16008,1.16356,1.1598,1.16294,54947,52961.9
1421359200,1.16294,1.16394,1.1599599999999999,1.16269,40973,52159.35
1421373600,1.16269,1.16462,1.16252,1.1629099999999999,38529,53271.75
1421388000,1.1629099999999999,1.16486,1.16115,1.16288,70886,55832.7
1421402400,1.16288,1.16351,1.15739,1.15843,78713,58569.75
1421416800,1.15843,1.15858,1.14592,1.15474,111384,61742.85
1421431200,1.15474,1.1589099999999999,1.15313,1.1558,47309,61504.25
1421618400,1.15516,1.1574,1.15504,1.15703,23931,59763
1421632800,1.15703,1.15737,1.15529,1.1561,22455,59457.25
1421647200,1.1561,1.16282,1.15511,1.16159,64686,61731.75
1421661600,1.16159,1.16233,1.15851,1.16105,55597,63315.65
1421676000,1.16105,1.16388,1.16001,1.16082,47912,62048.5
1421690400,1.16082,1.16165,1.16004,1.1601,28239,59954.1
1421704800,1.1601,1.16086,1.15726,1.15888,22899,57636.4
1421719200,1.15888,1.15895,1.15745,1.1584,20245,57458.1
1421733600,1.1584,1.16092,1.15678,1.16052,48806,59019.1
1421748000,1.16052,1.16148,1.1569,1.16039,51424,60752.25
1421762400,1.16039,1.16039,1.15437,1.15474,52126,59705.35
1421776800,1.15474,1.1557,1.15402,1.15472,21852,52170.4
1421791200,1.15472,1.15649,1.15412,1.1562,17970,46044.15
1421805600,1.1562,1.15754,1.15585,1.15745,21026,44348.1
1421820000,1.15745,1.15884,1.15468,1.15705,45291,44564
1421834400,1.15705,1.16369,1.15648,1.16325,49317,45103.4
1421848800,1.16325,1.16795,1.15645,1.15738,96900,46404.1
1421863200,1.15738,1.16113,1.1561299999999999,1.16076,27371,43837
1421877600,1.16076,1.16294,1.15905,1.15979,23683,39451.95
1421892000,1.15979,1.1609,1.15885,1.15907,17576,37965.3
1421906400,1.15907,1.1629099999999999,1.15753,1.16233,42561,38896.8
1421920800,1.16233,1.16509,1.15104,1.15625,91403,42344.2
1421935200,1.15625,1.15654,1.1376,1.13825,134340,45826.9
1421949600,1.13825,1.13921,1.13158,1.13646,47155,45404.8
1421964000,1.13646,1.13738,1.13388,1.13616,30695,44543.95
1421978400,1.13616,1.13691,1.13144,1.13358,25478,44405.9
1421992800,1.13358,1.13562,1.1230499999999999,1.12333,81631,47342.5
1422007200,1.12333,1.12475,1.11141,1.12355,106833,51671.9
1422021600,1.12355,1.12889,1.121,1.12552,102612,54362.2
1422036000,1.12552,1.12573,1.12013,1.12041,36202,53601.1
1422223200,1.1151,1.12015,1.1097,1.11688,50044,53497
1422237600,1.11688,1.11948,1.11513,1.11853,26384,53723.6
1422252000,1.11853,1.12614,1.11853,1.12504,70847,56367.45
1422266400,1.12504,1.12768,1.12213,1.12685,51479,57890.1
1422280800,1.12685,1.12952,1.12498,1.12793,57535,58502.3
1422295200,1.12793,1.12825,1.12321,1.12371,25184,57295.65
1422309600,1.12371,1.12581,1.12319,1.1249,18508,53376.05
1422324000,1.1249,1.12544,1.12358,1.12382,16382,52826.6
1422338400,1.12382,1.13452,1.12235,1.13179,64462,54865.55
1422352800,1.13179,1.13392,1.12605,1.13384,70937,57533.6
1422367200,1.13384,1.14224,1.13331,1.13522,94361,60123.6
1422381600,1.13522,1.13822,1.13404,1.13798,30206,57063.75
1422396000,1.13798,1.13831,1.13304,1.13348,27288,51711.15
1422410400,1.13348,1.13638,1.13303,1.13554,17904,50248.6
1422424800,1.13554,1.13822,1.13257,1.13625,56686,51548.15
1422439200,1.13625,1.13807,1.134,1.13509,50832,52815.85
