time,open,high,low,close,Volume,Volume MA
1609452000,1897.765,1897.9,1897.765,1897.9,2,NaN
1609714800,1903.706,1911.56,1902.51,1911.29,33498,NaN
1609716600,1910.59,1915.26,1909.39,1913.36,25586,NaN
1609718400,1913.09,1913.68,1909.8,1911.08,20325,NaN
1609720200,1910.84,1913.7,1910,1913.45,18238,NaN
1609722000,1913.29,1916.92,1912,1914.83,50146,NaN
1609723800,1914.925,1918.7,1913.1,1916.51,36079,NaN
1609725600,1916.63,1919.077,1915.394,1918.38,27237,NaN
1609727400,1918.357,1921.82,1917.7,1921.704,27861,NaN
1609729200,1921.69,1923.55,1920.5,1923.078,20020,NaN
1609731000,1923.06,1925.27,1921.5,1922.9,21593,NaN
1609732800,1923.2,1923.754,1920.9,1922,15853,NaN
1609734600,1922.045,1923.05,1920.1,1922.4,14217,NaN
1609736400,1922.55,1922.98,1918.7,1920.69,18312,NaN
1609738200,1920.54,1921.932,1918.7,1921.604,26622,NaN
1609740000,1921.66,1925.51,1921.2,1924,31418,NaN
1609741800,1924.194,1925.254,1922.5,1922.7,20142,NaN
1609743600,1922.78,1924.59,1922.1,1924.15,17339,NaN
1609745400,1923.92,1925.55,1922.7,1924.5,21129,NaN
1609747200,1924.67,1935.19,1924.3,1934.89,47282,24644.95
1609749000,1934.89,1934.99,1930.5,1931.8,33319,26310.8
1609750800,1932.03,1934.04,1929.7,1932.165,27467,26009.25
1609752600,1932.1,1933.2,1929.8,1932.31,18659,25662.9
1609754400,1932.06,1932.81,1927.6,1928.96,24158,25854.55
1609756200,1929.05,1934.55,1928,1933.52,27904,26337.85
1609758000,1933.54,1936.4,1932.3,1935.29,27348,25197.95
1609759800,1935.304,1936.52,1931.6,1933.49,26235,24705.75
1609761600,1933.479,1934.83,1930.6,1933.26,31812,24934.5
1609763400,1933.305,1934.33,1929.5,1931.79,29371,25010
1609765200,1931.79,1938.45,1929.2,1936.928,54493,26733.65
1609767000,1936.957,1942.24,1936.7,1940.02,53921,28350.05
1609768800,1939.7,1941.74,1936.5,1940,47694,29942.1
1609770600,1940,1943.8,1935.7,1941.32,76311,33046.8
1609772400,1941.31,1944.45,1928.8,1934.72,86988,36480.6
1609774200,1934.504,1943.66,1933.3,1943.02,66771,38488.05
1609776000,1942.88,1943.7,1936.3,1941.474,67158,40275.05
1609777800,1941.2,1942.11,1937.9,1939.7,46793,41607.6
1609779600,1939.94,1941.66,1932.1,1937.654,70447,44263
1609781400,1937.57,1937.914,1932.7,1937.08,60277,46220.4
1609783200,1936.938,1942.78,1935.7,1941.94,41925,45952.55
1609785000,1941.94,1943.77,1939.8,1943.62,29313,45752.25
1609786800,1943.53,1943.78,1938.4,1940.58,31668,45962.3
1609788600,1940.42,1942.65,1938.7,1942.43,25576,46308.15
1609790400,1942.464,1942.725,1940.1,1941.635,31098,46655.15
1609792200,1941.54,1944.23,1940.1,1943.57,28211,46670.5
1609794000,1943.64,1943.99,1940.6,1941.9,7184,45662.3
1609795800,1942.196,1943.83,1941,1942.4,7278,44714.45
1609797600,1942.125,1942.3,1941.1,1942.3,6,43124.15
1609801200,1941.506,1945.89,1940.3,1944.77,12723,42291.75
1609803000,1944.37,1945.56,1939.6,1941.71,15299,40332.05
1609804800,1941.59,1941.7,1938.3,1939.788,18352,38553.6
1609806600,1939.82,1941.25,1937,1938.74,20435,37190.65
1609808400,1938.45,1939.78,1935,1938.254,33619,35056.05
1609810200,1938.42,1939.36,1933.4,1937.57,33118,32362.55
1609812000,1937.39,1938.83,1935.6,1938.64,19613,30004.65
1609813800,1938.754,1940.24,1936.4,1939.354,31809,28237.2
1609815600,1939.34,1943.945,1938.2,1941.726,26806,27237.85
1609817400,1941.66,1942.566,1939.6,1941.04,17704,24600.7
1609819200,1941.094,1941.794,1935.7,1938.44,21448,22659.25
1609821000,1938.44,1940.62,1937.4,1939.555,12589,21192.45
1609822800,1939.635,1940.88,1937.7,1939.4,15119,20482.75
1609824600,1939.79,1940.05,1937,1938.406,24804,20139.55
1609826400,1938.414,1939.94,1936.1,1939.425,22321,19976.8
1609828200,1939.1,1942.324,1938.4,1940.3,29386,19891.2
1609830000,1940.56,1943.68,1938.3,1943.3,25810,19771.15
1609831800,1943.574,1943.954,1939.4,1939.604,23865,20605.2
1609833600,1939.55,1943.614,1939.2,1942.6,31153,21798.95
1609835400,1942.66,1943.15,1939.1,1942.345,23294,22963.35
1609837200,1942.355,1945.92,1940.7,1944.24,29813,23817.85
1609839000,1944.37,1948.305,1942.1,1945.58,29801,24542.95
1609840800,1945.69,1946.55,1942.9,1944.854,22895,24770.1
1609842600,1944.84,1947.66,1943.6,1946.849,21554,24826.05
1609844400,1946.97,1949.59,1945.6,1948.24,25403,24415.25
1609846200,1948.23,1950.3,1946.4,1949.88,29292,24223.95
1609848000,1949.83,1950.53,1947.2,1949.55,35415,25014.05
1609849800,1949.3,1949.8,1944.4,1949.2,33450,25096.1
1609851600,1949,1950.66,1945.6,1948.074,46943,26102.95
1609853400,1947.8,1951.9,1945.4,1949.53,48857,27660.6
1609855200,1949.384,1952.62,1946.3,1949.47,46112,28893.8
1609857000,1949.36,1949.884,1940.8,1945.71,83600,32444.35
1609858800,1945.46,1948.15,1938.6,1946.645,67787,35077.75
1609860600,1946.83,1948.9,1942.9,1943.69,52438,36459.45
1609862400,1943.62,1947.89,1942,1947.334,48865,37786.65
1609864200,1947.33,1951.63,1946.1,1950.4,47111,38672.9
1609866000,1950.57,1951.94,1946.7,1949.755,40777,39421.25
1609867800,1949.766,1950.94,1947.4,1950.06,29381,39697.05
1609869600,1949.88,1952.25,1948.8,1951.47,26203,39449.55
1609871400,1951.63,1951.85,1948,1951.09,22150,39392.35
1609873200,1951.17,1952.66,1949.3,1952.42,22011,39002.25
1609875000,1952.42,1953.06,1948.8,1951.404,18855,38454.95
1609876800,1951.374,1952.21,1947.6,1949.074,25639,38592.15
1609878600,1949.18,1950.72,1947.3,1949.4,26445,38836.7
1609880400,1949.295,1949.67,1946.5,1948.55,10486,38090.85
1609882200,1948.528,1950.96,1947.5,1949.82,8695,37061
1609884000,1949.154,1949.75,1948.4,1949.6,7,35290.6
1609887600,1948.865,1952.27,1948.1,1951.41,16748,34455.5
1609889400,1951.41,1953.42,1949.3,1950.15,13901,32803.4
1609891200,1950.06,1951.86,1948,1950.6,16445,31182.8
1609893000,1950.75,1953.52,1948.8,1952.114,27937,30274.05
1609894800,1952.054,1955.32,1946.1,1949.93,55097,28848.9
1609896600,1949.93,1953.11,1946.2,1947.765,42534,27586.25
1609898400,1947.75,1949.63,1946.3,1947.85,28394,26384.05
1609900200,1947.87,1950.08,1941.8,1943.918,34700,25675.8
1609902000,1944.11,1948.47,1941.4,1943.76,38481,25244.3
1609903800,1943.74,1945.94,1941.3,1942.27,21983,24304.6
1609905600,1942.02,1948.654,1940.3,1945.39,32880,24479.55
1609907400,1945.24,1948.01,1941.5,1944.604,25195,24429.15
1609909200,1944.604,1946.96,1943.3,1944.74,19782,24310.75
1609911000,1944.57,1945.89,1942.5,1943.78,22417,24331.05
1609912800,1943.77,1946.45,1942.9,1944.545,21404,24458.5
1609914600,1944.55,1945.79,1942.6,1944.948,20136,24183.35
1609916400,1944.974,1949.46,1942.9,1945.934,37173,24719.75
1609918200,1945.895,1948.34,1943.8,1947.765,27756,25583.25
1609920000,1947.71,1950.61,1945.7,1950.1,35969,26946.95
1609921800,1950.36,1956.59,1948.9,1952.77,39381,28915.65
1609923600,1952.73,1956.17,1951.9,1955.36,29181,29537.3
1609925400,1955.414,1957.864,1954,1957.734,33210,30502.75
1609927200,1957.73,1959.33,1956,1956.614,38240,31592.5
1609929000,1956.614,1957.69,1953.3,1956.574,30261,31708.7
1609930800,1956.51,1958.12,1949.7,1950.584,30902,30498.95
1609932600,1950.53,1952,1944.8,1945.354,42484,30496.45
1609934400,1945.24,1948.78,1943.5,1947.04,48599,31506.7
1609936200,1946.89,1947.79,1924.989,1933.934,76705,33606.95
1609938000,1933.849,1943.54,1929.6,1938.284,72510,35308.4
1609939800,1938.19,1938.92,1931.2,1932.95,58661,37142.3
1609941600,1932.88,1938.3,1929.5,1935.32,62288,38612.7
1609943400,1935.385,1936.18,1927.1,1932.359,96822,42194.05
1609945200,1932.317,1933.76,1921.8,1923.604,77983,45104.1
