time,open,high,low,close,Volume,Volume MA
1635714000,1.15573,1.1562,1.15548,1.1562,113,NaN
1635714900,1.1562,1.15631,1.1561299999999999,1.1562,59,NaN
1635715800,1.1562,1.15627,1.15617,1.15622,112,NaN
1635716700,1.15622,1.15634,1.15608,1.15631,121,NaN
1635717600,1.15631,1.15643,1.15562,1.15606,1906,NaN
1635718500,1.15606,1.15619,1.15595,1.15602,548,NaN
1635719400,1.15602,1.15611,1.15588,1.1559,489,NaN
1635720300,1.1559,1.15617,1.1558599999999999,1.15607,326,NaN
1635721200,1.15607,1.1562,1.15585,1.15616,574,NaN
1635722100,1.15616,1.15629,1.15609,1.1561299999999999,354,NaN
1635723000,1.1561299999999999,1.15614,1.15599,1.1561,509,NaN
1635723900,1.1561,1.15616,1.15554,1.15563,621,NaN
1635724800,1.15563,1.15605,1.15547,1.15553,1259,NaN
1635725700,1.15553,1.15592,1.15529,1.15585,1044,NaN
1635726600,1.15585,1.1559,1.15527,1.15539,1276,NaN
1635727500,1.15539,1.15554,1.15516,1.1555,1469,NaN
1635728400,1.1555,1.15606,1.15536,1.15588,1502,NaN
1635729300,1.15588,1.15598,1.15574,1.15584,1193,NaN
1635730200,1.15584,1.15591,1.15542,1.15589,1238,NaN
1635731100,1.15589,1.15594,1.1556,1.15565,1273,799.3
1635732000,1.15565,1.15574,1.15551,1.15559,1188,853.05
1635732900,1.15559,1.15573,1.15546,1.15567,852,892.7
1635733800,1.15567,1.15585,1.15534,1.1554,705,922.35
1635734700,1.1554,1.15547,1.15528,1.15544,792,955.9
1635735600,1.15544,1.1558,1.15537,1.15563,965,908.85
1635736500,1.15563,1.15564,1.15531,1.15534,710,916.95
1635737400,1.15534,1.15546,1.15528,1.15536,691,927.05
1635738300,1.15536,1.15538,1.15502,1.15505,686,945.05
1635739200,1.15505,1.15507,1.15485,1.15489,722,952.45
1635740100,1.15489,1.15493,1.15476,1.15481,884,978.95
1635741000,1.15481,1.15485,1.1546,1.15475,830,995
1635741900,1.15475,1.1552,1.15474,1.15515,830,1005.45
1635742800,1.15515,1.15584,1.15504,1.15579,1332,1009.1
1635743700,1.15579,1.15599,1.15576,1.15579,882,1001
1635744600,1.15579,1.15611,1.15579,1.1561,945,984.45
1635745500,1.1561,1.15639,1.15592,1.15635,1232,972.6
1635746400,1.15635,1.15636,1.15571,1.15573,1490,972
1635747300,1.15573,1.1558,1.15541,1.15556,1516,988.15
1635748200,1.15556,1.1561,1.15545,1.15563,2440,1048.25
1635749100,1.15563,1.15585,1.15539,1.15548,2350,1102.1
1635750000,1.15548,1.1559,1.15505,1.15526,3438,1214.6
1635750900,1.15526,1.15575,1.15507,1.1557,2747,1309.35
1635751800,1.1557,1.15579,1.15543,1.15568,1931,1370.65
1635752700,1.15568,1.15645,1.15472,1.15638,4643,1563.2
1635753600,1.15638,1.15688,1.15595,1.15608,4874,1758.65
1635754500,1.15608,1.15718,1.15599,1.15695,3257,1886
1635755400,1.15695,1.15718,1.15668,1.15701,3293,2016.1
1635756300,1.15701,1.15753,1.15689,1.15723,3353,2149.45
1635757200,1.15723,1.15724,1.1567,1.15687,3476,2287.15
1635758100,1.15687,1.15732,1.15678,1.15728,1727,2329.3
1635759000,1.15728,1.1574,1.15694,1.15694,2374,2406.5
1635759900,1.15694,1.15698,1.15618,1.15658,2699,2499.95
1635760800,1.15658,1.15713,1.15645,1.15702,2564,2561.55
1635761700,1.15702,1.15728,1.15675,1.15704,1902,2612.55
1635762600,1.15704,1.1570799999999999,1.15659,1.15678,1910,2660.8
1635763500,1.15678,1.15722,1.15666,1.15713,2078,2703.1
1635764400,1.15713,1.15726,1.1567,1.15697,1943,2725.75
1635765300,1.15697,1.15704,1.15666,1.15679,1558,2727.85
1635766200,1.15679,1.15771,1.15678,1.15747,1986,2705.15
1635767100,1.15747,1.15768,1.15716,1.15717,2825,2728.9
1635768000,1.15717,1.15781,1.15707,1.15766,3019,2707.95
1635768900,1.15766,1.15774,1.15731,1.15746,3528,2747
1635769800,1.15746,1.15792,1.15746,1.15768,3025,2801.7
1635770700,1.15768,1.15798,1.15751,1.15775,2867,2712.9
1635771600,1.15775,1.15799,1.15727,1.15771,3493,2643.85
1635772500,1.15771,1.15803,1.15747,1.1575199999999999,3008,2631.4
1635773400,1.1575199999999999,1.15776,1.15706,1.1573499999999999,3633,2648.4
1635774300,1.1573499999999999,1.15773,1.15692,1.15722,3411,2651.3
1635775200,1.15722,1.15731,1.15655,1.1570799999999999,4672,2711.1
1635776100,1.1570799999999999,1.1572,1.15655,1.15697,3328,2791.15
1635777000,1.15697,1.15784,1.15687,1.15777,3335,2839.2
1635777900,1.15777,1.15839,1.15775,1.15838,3104,2859.45
1635778800,1.15838,1.1584699999999999,1.15799,1.15802,2862,2874.35
1635779700,1.15802,1.15872,1.158,1.15854,2632,2910.85
1635780600,1.15854,1.1594,1.15848,1.15928,2857,2958.2
1635781500,1.15928,1.15932,1.1587399999999999,1.15913,3342,3021.4
1635782400,1.15913,1.15917,1.15881,1.15904,1944,3021.45
1635783300,1.15904,1.15912,1.15859,1.1587,1868,3036.95
1635784200,1.1587,1.1591,1.15865,1.15887,1597,3017.5
1635785100,1.15887,1.15923,1.15878,1.15918,1582,2955.35
1635786000,1.15918,1.15947,1.15917,1.15922,1247,2866.75
1635786900,1.15922,1.15943,1.15897,1.15913,1371,2758.9
1635787800,1.15913,1.15943,1.15884,1.15893,1241,2669.7
1635788700,1.15893,1.15949,1.15888,1.15944,1060,2579.35
1635789600,1.15944,1.1602,1.15942,1.16012,1449,2477.15
1635790500,1.16012,1.16043,1.15981,1.16038,1732,2413.35
1635791400,1.16038,1.16089,1.16021,1.16047,1342,2298.8
1635792300,1.16047,1.16066,1.16034,1.16059,1215,2189
1635793200,1.16059,1.1606,1.16021,1.16024,961,2003.45
1635794100,1.16024,1.16045,1.16015,1.16033,1002,1887.15
1635795000,1.16033,1.1605,1.16015,1.16041,738,1757.3
1635795900,1.16041,1.16068,1.16027,1.16065,987,1651.45
1635796800,1.16065,1.16089,1.16044,1.16056,843,1550.5
1635797700,1.16056,1.16071,1.16051,1.16065,280,1432.9
1635798600,1.16065,1.16067,1.1605,1.1606,353,1307.7
1635799500,1.1606,1.16092,1.16015,1.1606,655,1173.35
1635800400,1.1606,1.1606,1.16011,1.16019,92,1080.75
1635801300,1.16019,1.16044,1.1601,1.16042,29,988.8
1635802200,1.16042,1.16042,1.16005,1.16024,1723,995.1
1635803100,1.16024,1.16063,1.16019,1.16035,5975,1214.75
1635804000,1.16035,1.1605699999999999,1.16032,1.16053,782,1191.5
1635804900,1.16053,1.16056,1.16009,1.16014,409,1143.4
1635805800,1.16014,1.16033,1.16011,1.16028,279,1095.3
1635806700,1.16028,1.16033,1.16019,1.16019,196,1052.1
1635807600,1.16019,1.16027,1.16007,1.1602,560,1007.65
1635808500,1.1602,1.16024,1.16009,1.16015,393,940.7
1635809400,1.16015,1.16015,1.15984,1.15998,335,890.35
1635810300,1.15998,1.16,1.15977,1.15994,312,845.2
1635811200,1.15994,1.16016,1.1599,1.15994,1052,849.75
1635812100,1.15994,1.16004,1.15968,1.15974,746,836.95
1635813000,1.15974,1.15986,1.15964,1.15983,739,837
1635813900,1.15983,1.15985,1.15953,1.1597,999,837.6
1635814800,1.1597,1.15984,1.1595199999999999,1.15972,1160,853.45
1635815700,1.15972,1.15984,1.15958,1.1597,770,877.95
1635816600,1.1597,1.15975,1.15951,1.1597,1016,911.1
1635817500,1.1597,1.15981,1.1596,1.15979,679,912.3
1635818400,1.15979,1.15983,1.1596899999999999,1.15981,615,938.45
1635819300,1.15981,1.15981,1.15958,1.15971,483,961.15
1635820200,1.15971,1.1599599999999999,1.1596899999999999,1.15992,623,906.15
1635821100,1.15992,1.16002,1.15977,1.16,754,645.1
1635822000,1.16,1.16,1.15972,1.15976,513,631.65
1635822900,1.15976,1.15997,1.15967,1.1599,815,651.95
1635823800,1.1599,1.16018,1.15964,1.15995,2945,785.25
1635824700,1.15995,1.16006,1.15984,1.15991,1029,826.9
1635825600,1.15991,1.16002,1.15987,1.15999,566,827.2
1635826500,1.15999,1.16028,1.15998,1.16027,379,826.5
1635827400,1.16027,1.16085,1.16023,1.1607399999999999,1686,894.05
1635828300,1.1607399999999999,1.16077,1.16035,1.16039,1151,936
1635829200,1.16039,1.16055,1.16021,1.16046,1532,960
1635830100,1.16046,1.16056,1.16027,1.16039,1089,977.15
1635831000,1.16039,1.16063,1.16032,1.16037,1231,1001.75
1635831900,1.16037,1.16075,1.16025,1.1607399999999999,1101,1006.85
