time,open,high,low,close,Plot,Volume,Volume MA
1577916000,1.32604,1.32604,1.32476,1.32514,NaN,1155,NaN
1577919600,1.32514,1.32618,1.32495,1.32502,NaN,340,NaN
1577923200,1.32502,1.32622,1.32476,1.32568,NaN,918,NaN
1577926800,1.32568,1.32666,1.32538,1.32562,NaN,973,NaN
1577930400,1.32562,1.32564,1.32442,1.32488,NaN,649,NaN
1577934000,1.32488,1.32497,1.3203,1.32098,NaN,1498,NaN
1577937600,1.32098,1.32183,1.32038,1.32075,1.32401,1095,NaN
1577941200,1.32075,1.32144,1.32024,1.32142,1.32364,1242,NaN
1577944800,1.32142,1.32242,1.32068,1.32213,1.3234242857142855,1196,NaN
1577948400,1.32213,1.32298,1.32099,1.32199,1.323219387755102,2521,NaN
1577952000,1.32199,1.32306,1.32096,1.3222,1.3230737609329446,2736,NaN
1577955600,1.3222,1.32274,1.32102,1.32144,1.3228403665139525,1287,NaN
1577959200,1.32144,1.32151,1.32054,1.32115,1.3225988855833877,1324,NaN
1577962800,1.32115,1.32117,1.31889,1.31998,1.322224759071475,1773,NaN
1577966400,1.31998,1.3213,1.31908,1.31974,1.3218697934898356,1730,NaN
1577970000,1.31974,1.31974,1.31718,1.31768,1.3212712515627163,2431,NaN
1577973600,1.31768,1.31778,1.31358,1.31478,1.3203439299108997,2599,NaN
1577977200,1.31478,1.31948,1.31456,1.31896,1.3201462256379142,3266,NaN
1577980800,1.31896,1.31896,1.31238,1.31274,1.3190881934039265,3270,NaN
1577984400,1.31274,1.31348,1.31155,1.31346,1.318284165774794,2386,1719.45
1577988000,1.31346,1.31438,1.31254,1.31398,1.3176692849498235,1919,1757.65
1577991600,1.31398,1.31407,1.31282,1.31292,1.3169908156712773,1631,1822.2
1577995200,1.31292,1.31458,1.3129,1.31388,1.3165464134325233,1117,1832.15
1577998800,1.31388,1.31424,1.31357,1.31362,1.3161283543707343,428,1804.9
1578002400,1.31362,1.31471,1.31362,1.31409,1.3158371608892008,223,1783.6
1578006000,1.31409,1.31485,1.31383,1.31473,1.3156789950478864,548,1736.1
1578009600,1.31473,1.31572,1.31405,1.31557,1.3156634243267598,673,1715
1578013200,1.31557,1.31606,1.31351,1.31379,1.3153957922800799,949,1700.35
1578016800,1.31379,1.3144,1.31232,1.3128,1.315024964811497,1641,1722.6
1578020400,1.3128,1.31382,1.31272,1.31366,1.314829969838426,1100,1651.55
1578024000,1.31366,1.31376,1.31248,1.31261,1.3145128312900793,651,1547.3
1578027600,1.31261,1.31293,1.31162,1.31216,1.3141767125343538,983,1532.1
1578031200,1.31216,1.31242,1.31052,1.31242,1.3139257536008746,1008,1516.3
1578034800,1.31242,1.31242,1.3083,1.30918,1.3132477888007497,2898,1572.55
1578038400,1.30918,1.31182,1.30872,1.3098,1.3127552475434996,2994,1635.75
1578042000,1.3098,1.3101,1.30671,1.30682,1.3119073550372853,3317,1680.05
1578045600,1.30682,1.30884,1.3068,1.30787,1.3113305900319587,2650,1682.6
1578049200,1.30787,1.30792,1.30534,1.3059,1.3105547914559648,2116,1625.1
1578052800,1.3059,1.30824,1.30543,1.30806,1.3101983926765413,1989,1561.05
1578056400,1.30806,1.31099,1.30722,1.30724,1.3097757651513209,1826,1533.05
1578060000,1.30724,1.309,1.30682,1.30695,1.309372084415418,2524,1563.3
1578063600,1.30695,1.30946,1.30695,1.30718,1.3090589294989297,2825,1623
1578067200,1.30718,1.30991,1.30696,1.30897,1.309046225284797,1737,1654
1578070800,1.30897,1.30938,1.30806,1.30884,1.3090167645298258,1514,1708.3
1578074400,1.30884,1.30901,1.3073,1.30866,1.3089657981684222,1503,1772.3
1578078000,1.30866,1.30874,1.30747,1.30788,1.3088106841443619,1574,1823.6
1578081600,1.30788,1.30795,1.30719,1.30737,1.3086048721237389,555,1817.7
1578085200,1.30737,1.30807,1.30714,1.3079,1.3085041761060618,347,1787.6
1578261600,1.3079,1.30918,1.30674,1.30722,1.3083207223766244,144,1712.75
1578265200,1.30722,1.3085,1.30651,1.30776,1.3082406191799638,780,1696.75
1578268800,1.30776,1.30882,1.30773,1.30801,1.308207673582826,544,1691.4
1578272400,1.30801,1.30818,1.30756,1.30795,1.3081708630709936,442,1664.35
1578276000,1.30795,1.30885,1.30795,1.30876,1.308255025489423,283,1628.1
1578279600,1.30876,1.30905,1.30811,1.30822,1.3082500218480768,317,1499.05
1578283200,1.30822,1.30871,1.30814,1.30844,1.3082771615840658,230,1360.85
1578286800,1.30844,1.30861,1.30802,1.30812,1.3082547099291995,310,1210.5
1578290400,1.30812,1.30836,1.30688,1.30832,1.308264037082171,745,1115.25
1578294000,1.30832,1.30947,1.30702,1.30733,1.3081306032132893,2239,1121.4
1578297600,1.30733,1.31083,1.30644,1.31059,1.3084819456113908,3252,1184.55
1578301200,1.31059,1.31486,1.31033,1.31435,1.3093202390954777,4270,1306.75
1578304800,1.31435,1.31737,1.31378,1.31524,1.3101659192246953,3699,1365.5
1578308400,1.31524,1.31746,1.31512,1.3157,1.310956502192596,2302,1339.35
1578312000,1.3157,1.31571,1.31386,1.31388,1.3113741447365108,1467,1325.85
1578315600,1.31388,1.31492,1.31348,1.31409,1.3117621240598665,1510,1325.65
1578319200,1.31409,1.31612,1.31334,1.31368,1.3120361063370285,1887,1344.85
1578322800,1.31368,1.31625,1.31338,1.31586,1.3125823768603102,2015,1366.9
1578326400,1.31586,1.317,1.3152,1.31624,1.3131048944516945,1461,1412.2
1578330000,1.31624,1.31746,1.31564,1.31594,1.313509909530024,1213,1455.5
1578333600,1.31594,1.31678,1.3158,1.3158,1.3138370653114493,758,1486.2
1578337200,1.3158,1.31642,1.31556,1.31632,1.3141917702669565,716,1483
1578340800,1.31632,1.31676,1.31593,1.31664,1.314541517371677,536,1482.6
1578344400,1.31664,1.31695,1.31644,1.3169,1.3148784434614373,294,1475.2
1578348000,1.3169,1.31796,1.3169,1.31763,1.315271522966946,137,1467.9
1578351600,1.31763,1.31763,1.31687,1.31718,1.3155441625430966,410,1472.55
