time,open,high,low,close,Volume,Volume MA
1420149600,0.779355,0.78007,0.77591,0.77643,1465,NaN
1420164000,0.77643,0.77694,0.77457,0.7755,1652,NaN
1420178400,0.7755,0.776465,0.77442,0.77484,2826,NaN
1420192800,0.77484,0.7751,0.77031,0.77098,2869,NaN
1420207200,0.770975,0.77294,0.76972,0.7701,4164,NaN
1420221600,0.770105,0.770885,0.769095,0.76998,1744,NaN
1420408800,0.76998,0.76998,0.76528,0.76662,3190,NaN
1420423200,0.76662,0.76741,0.76194,0.763805,3031,NaN
1420437600,0.7638,0.76742,0.76272,0.76723,3461,NaN
1420452000,0.76723,0.76944,0.7656,0.76822,3487,NaN
1420466400,0.76822,0.77196,0.76798,0.76976,3463,NaN
1420480800,0.76976,0.7713,0.7684,0.76852,2043,NaN
1420495200,0.768515,0.77136,0.7682,0.77075,1875,NaN
1420509600,0.77075,0.77469,0.770595,0.77374,2698,NaN
1420524000,0.77374,0.77501,0.772255,0.77378,3949,NaN
1420538400,0.773785,0.77543,0.77262,0.77464,3169,NaN
1420552800,0.77464,0.781,0.77241,0.77918,7866,NaN
1420567200,0.77918,0.78021,0.77581,0.77614,3976,NaN
1420581600,0.77614,0.77665,0.773635,0.77602,2579,NaN
1420596000,0.77602,0.776245,0.77453,0.77548,1754,3063.05
1420610400,0.775475,0.776785,0.77355,0.774895,3832,3181.4
1420624800,0.7749,0.77574,0.772495,0.77307,4494,3323.5
1420639200,0.77307,0.77576,0.77138,0.77538,4053,3384.85
1420653600,0.77538,0.77948,0.775,0.77833,5239,3503.35
1420668000,0.77833,0.77861,0.77626,0.77675,2338,3412.05
1420682400,0.77675,0.78014,0.77675,0.77995,1848,3417.25
1420696800,0.77995,0.78194,0.77839,0.781,3579,3436.7
1420711200,0.781,0.78134,0.77772,0.7796,3798,3475.05
1420725600,0.7796,0.78293,0.77832,0.78252,3954,3499.7
1420740000,0.78252,0.78286,0.780355,0.78244,2145,3432.6
1420754400,0.78244,0.78374,0.7804,0.782275,2411,3380
1420768800,0.78228,0.78448,0.78224,0.78323,1776,3366.65
1420783200,0.78323,0.78326,0.78046,0.78136,2905,3418.15
1420797600,0.78136,0.78511,0.77894,0.781,5785,3572.5
1420812000,0.781,0.78486,0.779,0.78255,7579,3754
1420826400,0.78255,0.78416,0.78253,0.78341,1520,3671.55
1421013600,0.78341,0.78648,0.783,0.785145,2147,3385.6
1421028000,0.785145,0.78655,0.78415,0.78487,2384,3306
1421042400,0.78487,0.78496,0.77645,0.7768,4104,3382.25
1421056800,0.7768,0.778045,0.773635,0.77537,3757,3482.4
1421071200,0.77537,0.77752,0.77456,0.77657,4210,3501.3
1421085600,0.77657,0.7786,0.776335,0.77815,1877,3370.45
1421100000,0.77815,0.77845,0.775695,0.77782,2748,3305.2
1421114400,0.77782,0.78029,0.77652,0.77658,3511,3218.8
1421128800,0.77658,0.7789,0.77432,0.77557,4691,3336.45
1421143200,0.77557,0.77571,0.77188,0.77246,4396,3463.85
1421157600,0.77246,0.77496,0.77123,0.772845,4371,3503.45
1421172000,0.77284,0.77393,0.77147,0.77375,3092,3468.15
1421186400,0.77375,0.775045,0.77273,0.77288,2643,3402.6
1421200800,0.772885,0.77319,0.76965,0.77153,4081,3499.4
1421215200,0.77153,0.774705,0.768995,0.773025,6690,3713.35
1421229600,0.77302,0.77802,0.77063,0.77631,6185,3933.8
1421244000,0.77631,0.77714,0.772455,0.77354,6210,4099.05
1421258400,0.77354,0.77354,0.77136,0.771685,2953,3957.45
1421272800,0.77168,0.77424,0.77066,0.77107,3527,3754.85
1421287200,0.77107,0.77441,0.770955,0.77297,2642,3810.95
1421301600,0.77297,0.77925,0.77034,0.7788,15152,4461.2
1421316000,0.7788,0.78904,0.77234,0.784375,17446,5214.3
1421330400,0.78438,0.7845,0.77654,0.78237,11498,5584
1421344800,0.78237,0.7846,0.780615,0.78252,3654,5578.85
1421359200,0.78252,0.78534,0.7775,0.785,6342,5685.45
1421373600,0.785,0.78566,0.78314,0.78364,2982,5740.7
1421388000,0.78364,0.78452,0.779255,0.77964,3151,5760.85
1421402400,0.779635,0.78065,0.778375,0.77898,3636,5767.1
1421416800,0.77898,0.77934,0.77463,0.778695,7111,5888.1
1421431200,0.7787,0.77988,0.77756,0.778835,2358,5786.2
1421618400,0.77884,0.78062,0.7777,0.77897,2054,5670.35
1421632800,0.77897,0.78008,0.77847,0.7794,1814,5606.45
1421647200,0.7794,0.78085,0.7779,0.779505,2589,5603.75
1421661600,0.7795,0.78006,0.77786,0.7784,2351,5517.25
1421676000,0.7784,0.77914,0.77724,0.77744,1858,5275.65
1421690400,0.77744,0.77873,0.77704,0.7781,1617,5047.25
1421704800,0.778095,0.77834,0.77395,0.77642,2738,4873.65
1421719200,0.77642,0.77699,0.77164,0.7726,2674,4859.7
1421733600,0.7726,0.77478,0.770875,0.77372,3831,4874.9
1421748000,0.77372,0.774425,0.77025,0.77118,4365,4961.05
1421762400,0.77118,0.77237,0.76797,0.76836,4550,4430.95
1421776800,0.768355,0.76882,0.76232,0.76376,3538,3735.55
1421791200,0.763765,0.7652,0.76279,0.76486,3491,3335.2
1421805600,0.764855,0.76722,0.76443,0.76601,3277,3316.35
1421820000,0.76601,0.768005,0.76236,0.763455,4791,3238.8
1421834400,0.76346,0.76879,0.76324,0.76848,4200,3299.7
1421848800,0.76848,0.77101,0.75554,0.7575,13264,3805.35
1421863200,0.7575,0.75792,0.755095,0.7552,2943,3770.7
1421877600,0.7552,0.75776,0.75446,0.75588,3736,3601.95
1421892000,0.75588,0.75592,0.7516,0.752485,4616,3714.85
1421906400,0.75248,0.75612,0.75138,0.75584,4866,3855.45
1421920800,0.75584,0.75838,0.75331,0.75376,6224,4075.95
1421935200,0.75376,0.75588,0.75168,0.752015,8240,4358.5
1421949600,0.752015,0.75251,0.7481,0.75014,4252,4453.55
1421964000,0.75014,0.75276,0.7493,0.75066,2656,4493.45
1421978400,0.75066,0.752185,0.74801,0.74918,3611,4593.15
1421992800,0.74918,0.75212,0.74669,0.74707,5684,4740.45
1422007200,0.74707,0.74862,0.74322,0.74836,8356,5024.55
1422021600,0.74836,0.74942,0.745375,0.74564,6283,5147.15
1422036000,0.74564,0.74714,0.74424,0.74544,2112,5034.5
1422223200,0.74544,0.74544,0.740635,0.743035,2775,4945.75
1422237600,0.74304,0.74415,0.741595,0.74292,2187,4878.2
1422252000,0.74292,0.746425,0.741575,0.74636,4185,4912.9
1422266400,0.74636,0.74693,0.74273,0.74287,2833,4890.7
1422280800,0.74287,0.74345,0.74014,0.74089,3847,4843.5
1422295200,0.74089,0.74333,0.73982,0.74256,1910,4729
1422309600,0.74256,0.74424,0.74242,0.743275,2331,4182.35
1422324000,0.743275,0.74385,0.74088,0.74298,2113,4140.85
1422338400,0.74298,0.74554,0.741815,0.7437,3394,4123.75
1422352800,0.7437,0.74566,0.74264,0.744365,3981,4092
