time,open,high,low,close,Plot,Volume,Volume MA
1645999200,0.67453,0.67453,0.66837,0.66868,NaN,26,NaN
1645999500,0.66868,0.66936,0.66858,0.66928,NaN,75,NaN
1645999800,0.66928,0.67004,0.66832,0.66993,NaN,126,NaN
1646000100,0.66993,0.67,0.66843,0.66984,NaN,101,NaN
1646000400,0.66984,0.66988,0.66976,0.66976,NaN,18,NaN
1646000700,0.66976,0.66998,0.66964,0.66964,NaN,57,NaN
1646001000,0.66964,0.66964,0.66879,0.66918,0.6694728571428571,46,NaN
1646001300,0.66918,0.66953,0.6685,0.66874,0.669368163265306,112,NaN
1646001600,0.66874,0.6689,0.66874,0.66884,0.6692927113702624,38,NaN
1646001900,0.66884,0.66888,0.66876,0.66876,0.6692166097459392,27,NaN
1646002200,0.66876,0.66921,0.66876,0.66899,0.6691842369250908,149,NaN
1646002500,0.66899,0.66917,0.66874,0.66884,0.6691350602215065,203,NaN
1646002800,0.66884,0.66931,0.66868,0.66926,0.6691529087612912,1255,NaN
1646003100,0.66926,0.66932,0.66874,0.66898,0.6691282075096783,1182,NaN
1646003400,0.66898,0.669,0.66814,0.66838,0.6690213207225814,1055,NaN
1646003700,0.66838,0.6688,0.66836,0.66854,0.6689525606193555,586,NaN
1646004000,0.66854,0.66935,0.66851,0.66934,0.6690079091023048,914,NaN
1646004300,0.66934,0.66946,0.66852,0.66878,0.6689753506591184,682,NaN
1646004600,0.66878,0.66912,0.66828,0.66898,0.668976014850673,870,NaN
1646004900,0.66898,0.66936,0.66878,0.6689,0.6689651555862912,881,420.15
1646005200,0.6689,0.66924,0.66885,0.66912,0.6689872762168211,504,444.05
1646005500,0.66912,0.66917,0.66904,0.66914,0.6690090939001323,229,451.75
1646005800,0.66914,0.66941,0.66914,0.66938,0.6690620804858278,277,459.3
1646006100,0.66938,0.66938,0.66917,0.66917,0.6690774975592809,196,464.05
1646006400,0.66917,0.66921,0.66829,0.66898,0.6690635693365266,704,498.35
1646006700,0.66898,0.66933,0.66862,0.66932,0.6691002022884512,574,524.2
1646007000,0.66932,0.66936,0.66899,0.66906,0.6690944591043868,719,557.85
1646007300,0.66906,0.66925,0.66882,0.66917,0.669105250660903,746,589.55
1646007600,0.66917,0.66918,0.66861,0.66867,0.6690430719950597,702,622.75
1646007900,0.66867,0.66912,0.66866,0.66912,0.6690540617100512,569,649.85
1646008200,0.66912,0.6694,0.66894,0.66916,0.6690691957514724,584,671.6
1646008500,0.66916,0.66934,0.6691,0.6692,0.6690878820726907,597,691.3
1646008800,0.6692,0.6694,0.6691,0.66938,0.6691296132051635,441,650.6
1646009100,0.66938,0.66991,0.66933,0.66968,0.6692082398901401,582,620.6
1646009400,0.66968,0.66972,0.66871,0.66894,0.6691699199058344,757,605.7
1646009700,0.66894,0.66938,0.6688,0.66892,0.6691342170621438,668,609.8
1646010000,0.66892,0.66916,0.66871,0.66901,0.6691164717675518,1101,619.15
1646010300,0.66901,0.66939,0.66897,0.66917,0.6691241186579016,784,624.25
1646010600,0.66917,0.66944,0.66888,0.66937,0.6691592445639156,927,627.1
1646010900,0.66937,0.66959,0.66892,0.66922,0.6691679239119278,1185,642.3
1646011200,0.66922,0.66942,0.66905,0.66916,0.6691667919245096,941,664.15
1646011500,0.66916,0.66934,0.66904,0.6691,0.6691572502210082,894,697.4
1646011800,0.6691,0.66911,0.66847,0.66848,0.6690605001894356,734,720.25
1646012100,0.66848,0.6685,0.66779,0.66779,0.6688790001623734,954,758.15
1646012400,0.66779,0.66834,0.66779,0.66812,0.6687705715677487,565,751.2
1646012700,0.66812,0.66866,0.66801,0.66858,0.6687433470580704,607,752.85
1646013000,0.66858,0.66871,0.6683,0.66836,0.6686885831926317,683,751.05
1646013300,0.66836,0.66864,0.66826,0.66835,0.668640214165113,761,751.8
1646013600,0.66835,0.66866,0.66832,0.66857,0.6686301835700968,485,740.95
