time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Volume,Volume MA
1609714800,26.39972,26.79664,26.39972,26.79084,NaN,NaN,NaN,NaN,NaN,1015,NaN
1609716600,26.79084,26.92025,26.78418,26.85546,NaN,NaN,NaN,NaN,NaN,519,NaN
1609718400,26.85546,26.85546,26.75934,26.77598,NaN,NaN,NaN,NaN,NaN,354,NaN
1609720200,26.77598,26.83206,26.72523,26.82718,NaN,NaN,NaN,NaN,NaN,584,NaN
1609722000,26.82718,27.15062,26.82718,27.04394,NaN,NaN,NaN,NaN,26.85868,2524,NaN
1609723800,27.04394,27.10718,26.97198,27.0032,NaN,NaN,NaN,NaN,26.906853333333334,1099,NaN
1609725600,27.0032,27.06482,26.8719,27.02712,NaN,NaN,NaN,NaN,26.946942222222223,896,NaN
1609727400,27.02712,27.12871,27.01496,27.09942,NaN,NaN,NaN,NaN,26.997768148148147,758,NaN
1609729200,27.09942,27.1218,27.04908,27.11168,NaN,NaN,NaN,NaN,27.035738765432097,386,NaN
1609731000,27.11168,27.11644,27.04426,27.07088,NaN,NaN,NaN,NaN,27.047452510288064,281,NaN
1609732800,27.07088,27.07582,27.02854,27.04762,NaN,NaN,NaN,NaN,27.047508340192042,167,NaN
1609734600,27.04762,27.08418,26.97288,27.05796,NaN,NaN,NaN,NaN,27.050992226794694,291,NaN
1609736400,27.05796,27.08228,26.95672,27.00092,NaN,NaN,NaN,26.97786153846154,27.034301484529795,281,NaN
1609738200,27.00092,27.044,26.9216,27.01302,NaN,NaN,NaN,26.982884175824175,27.027207656353198,781,NaN
1609740000,27.01302,27.15173,26.95644,27.09824,NaN,NaN,NaN,26.999363579277865,27.050885104235466,820,NaN
1609741800,27.09824,27.17113,27.0813,27.10426,NaN,NaN,NaN,27.01434878223817,27.068676736156977,575,NaN
1609743600,27.10426,27.13328,27.09063,27.10884,NaN,NaN,NaN,27.027847527632716,27.08206449077132,284,NaN
1609745400,27.10884,27.16741,27.0982,27.1513,NaN,NaN,NaN,27.045483595113755,27.105142993847547,316,NaN
1609747200,27.1513,27.3488,27.15004,27.32212,NaN,NaN,NaN,27.085003081526075,27.177468662565033,899,NaN
1609749000,27.32212,27.32212,27.22518,27.2428,NaN,NaN,NaN,27.10754549845092,27.199245775043355,645,673.75
1609750800,27.2428,27.31712,27.2428,27.30958,NaN,NaN,27.050588571428573,27.13640757010079,27.236023850028904,304,638.2
1609752600,27.30958,27.33494,27.26844,27.29472,NaN,NaN,27.07278233766234,27.159023631514962,27.2555892333526,275,626
1609754400,27.29472,27.33282,27.20731,27.23036,NaN,NaN,27.087107579693036,27.16921454129854,27.247179488901736,350,625.8
1609756200,27.23036,27.30784,27.21642,27.27958,NaN,NaN,27.104605072448216,27.18498103539875,27.257979659267825,345,613.85
1609758000,27.27958,27.35918,27.27958,27.31486,NaN,NaN,27.123719156771106,27.20353517319893,27.276939772845218,383,506.8
1609759800,27.31486,27.34716,27.25316,27.27624,NaN,NaN,27.13758468797373,27.213921577027655,27.276706515230146,393,471.5
