time,open,high,low,close,Volume,Volume MA
1577919600,17.85219,17.9539,17.85219,17.89554,210,NaN
1577923200,17.89554,17.91273,17.87578,17.89998,120,NaN
1577926800,17.89998,17.91927,17.83194,17.84226,559,NaN
1577930400,17.84226,17.88456,17.7925,17.87777,221,NaN
1577934000,17.87777,17.89206,17.85858,17.86848,78,NaN
1577937600,17.86848,17.87269,17.8502,17.85822,59,NaN
1577941200,17.85822,17.87614,17.84794,17.86148,144,NaN
1577944800,17.86148,17.89028,17.85366,17.87872,172,NaN
1577948400,17.87872,17.88486,17.85934,17.85934,142,NaN
1577952000,17.85934,17.90922,17.84304,17.9074,257,NaN
1577955600,17.9074,17.93344,17.899,17.9077,90,NaN
1577959200,17.9077,17.9216,17.88769,17.9216,79,NaN
1577962800,17.9216,17.93402,17.90888,17.91856,105,NaN
1577966400,17.91856,17.93778,17.90614,17.92695,122,NaN
1577970000,17.92695,18.10131,17.92477,18.07787,795,NaN
1577973600,18.07787,18.09437,17.94138,17.95246,755,NaN
1577977200,17.95246,18.05728,17.95246,18.01039,506,NaN
1577980800,18.01039,18.01254,17.96372,17.97234,288,NaN
1577984400,17.97234,18.01279,17.94171,18.00828,237,NaN
1577988000,18.00828,18.0174,17.98902,17.99832,127,253.3
1577991600,17.99832,18.01152,17.97516,18.00743,102,247.9
1577995200,18.00743,18.03346,18.00004,18.01366,141,248.95
1577998800,18.01366,18.02771,18.00961,18.02544,46,223.3
1578006000,18.02544,18.03044,18.01133,18.03044,40,214.25
1578009600,18.03044,18.05546,18.03001,18.05336,98,215.25
1578013200,18.05336,18.13824,18.02,18.0968,438,234.2
1578016800,18.0968,18.16108,18.07067,18.1126,682,261.1
1578020400,18.1126,18.14852,18.09782,18.1189,245,264.75
1578024000,18.1189,18.12995,18.10872,18.12782,80,261.65
1578027600,18.12782,18.25759,18.11905,18.19526,685,283.05
1578031200,18.19526,18.21594,18.1612,18.16341,436,300.35
1578034800,18.16341,18.2734,18.1618,18.25802,358,314.3
1578038400,18.25802,18.27096,18.17034,18.17733,342,326.15
1578042000,18.17733,18.24166,18.17531,18.18354,321,336.1
1578045600,18.18354,18.21904,18.13778,18.20223,284,310.55
1578049200,18.20223,18.21083,18.17124,18.18375,208,283.2
1578052800,18.18375,18.2251,18.14197,18.16616,381,276.95
1578056400,18.16616,18.1803,18.04104,18.08826,864,305.75
1578060000,18.08826,18.11338,18.03737,18.07968,719,329.85
1578063600,18.07968,18.15077,18.07968,18.11182,766,361.8
1578067200,18.11182,18.13572,18.08523,18.10137,249,369.15
1578070800,18.10137,18.1104,18.08653,18.10591,143,369.25
1578074400,18.10591,18.14386,18.06639,18.0799,314,382.65
1578078000,18.0799,18.0904,18.00232,18.02937,327,397
1578081600,18.02937,18.0341,17.99964,18.02668,129,398.55
1578085200,18.02668,18.05464,18.0176,18.05136,64,379.85
1578265200,18.05136,18.30098,18.05136,18.17729,1522,421.85
1578268800,18.17729,18.21539,18.15764,18.18882,359,427.55
1578272400,18.18882,18.50552,18.18669,18.4601,1734,510.25
1578276000,18.4601,18.46891,18.42628,18.44164,454,498.7
1578279600,18.44164,18.47199,18.42488,18.44894,156,484.7
1578283200,18.44894,18.456,18.42819,18.4388,123,472.95
1578286800,18.4388,18.45976,18.37655,18.41363,264,469.05
1578290400,18.41363,18.45274,18.38752,18.3896,313,468.65
1578294000,18.3896,18.39382,18.32874,18.35575,316,470.25
1578297600,18.35575,18.36587,18.3234,18.3462,373,478.5
1578301200,18.3462,18.39528,18.33107,18.36912,229,470.9
1578304800,18.36912,18.41484,18.36496,18.39568,193,437.35
1578308400,18.39568,18.42405,18.37288,18.42002,165,409.65
1578312000,18.42002,18.44739,18.40282,18.42954,368,389.75
1578315600,18.42954,18.45913,18.32966,18.3645,775,416.05
1578319200,18.3645,18.39746,18.29824,18.30271,629,440.35
1578322800,18.30271,18.33262,18.01798,18.08674,1641,506.7
1578326400,18.08674,18.12142,18.0639,18.10738,489,514.8
1578330000,18.10738,18.11412,18.08604,18.10814,175,517.1
1578333600,18.10814,18.17955,18.10195,18.16632,193,523.55
1578337200,18.16632,18.17468,18.11723,18.12973,122,453.55
1578340800,18.12973,18.15135,18.12756,18.14984,87,439.95
1578344400,18.14984,18.15616,18.14521,18.14904,49,355.7
1578351600,18.14904,18.15561,18.11518,18.12056,88,337.4
1578355200,18.12056,18.13782,18.10967,18.12917,116,335.4
1578358800,18.12917,18.12917,17.9525,17.996,743,366.4
1578362400,17.996,18.04855,17.95268,18.03502,406,373.5
1578366000,18.03502,18.06355,18.0274,18.03773,175,366.6
1578369600,18.03773,18.05374,18.02852,18.04542,76,354.6
1578373200,18.04542,18.13142,18.04302,18.1278,339,352.9
1578376800,18.1278,18.23078,18.12162,18.17011,676,375.25
1578380400,18.17011,18.22955,18.14916,18.22094,368,384
1578384000,18.22094,18.22297,18.11744,18.11752,460,398.75
1578387600,18.11752,18.1421,18.07886,18.13441,233,392
1578391200,18.13441,18.14998,18.1111,18.1201,219,364.2
1578394800,18.1201,18.17878,18.11582,18.15682,166,341.05
1578398400,18.15682,18.17984,18.0694,18.09604,300,274
1578402000,18.09604,18.19322,18.08688,18.19005,654,282.25
1578405600,18.19005,18.24202,18.16069,18.1931,594,303.2
1578409200,18.1931,18.25856,18.13045,18.21554,787,332.9
