time,open,high,low,close,Volume,Volume MA
1142805600,554.05,556.5,550.05,555,3021,NaN
1142892000,555,555.5,547.05,552.2,4546,NaN
1142978400,552.2,553.55,546.95,550.9,3847,NaN
1143064800,550.9,551.45,544.35,549.85,4141,NaN
1143151200,549.85,561.35,548.95,560.45,3892,NaN
1143410400,560.45,568.75,558.65,567.3,4057,NaN
1143496800,567.3,569.65,562.65,563.8,4012,NaN
1143583200,563.8,574.25,560.25,573.6,3827,NaN
1143669600,573.6,589.55,571.45,588.45,5192,NaN
1143756000,588.45,588.8,579.05,583.65,4227,NaN
1144011600,583.65,591.95,582.25,587.8,3679,NaN
1144098000,587.8,590.45,584.85,586.8,5925,NaN
1144184400,586.8,589.85,582.35,588.4,6571,NaN
1144270800,588.4,597.15,586.95,595.4,6881,NaN
1144357200,595.4,598.55,585.35,588.85,6920,NaN
1144616400,588.85,599.8,588.85,599.7,5990,NaN
1144702800,599.7,604.2,593.05,593.5,7083,NaN
1144789200,593.5,600.25,593.1,598.35,6074,NaN
1144875600,598.35,598.75,590.85,596.5,6442,NaN
1144962000,596.5,599.2,596.5,596.65,116,4822.15
1145221200,596.65,615.8,596.65,613.5,3633,4852.75
1145307600,613.5,622.1,612.65,620.9,5804,4915.65
1145394000,620.9,642.5,620.9,639.9,7012,5073.9
1145480400,639.9,645.75,607.1,612.6,6255,5179.6
1145566800,612.6,634.2,610.75,633.85,3216,5145.8
1145826000,633.85,640.85,618.95,621,4946,5190.25
1145912400,621,635.1,619.5,630.1,3700,5174.65
1145998800,630.1,641.45,628.4,638.75,3840,5175.3
1146085200,638.75,643.75,626.75,633.6,4119,5121.65
1146171600,633.6,655.8,633.6,654.95,4872,5153.9
1146430800,654.95,661.8,651.1,655.15,3626,5151.25
1146517200,655.15,669.6,653.05,668.6,5805,5145.25
1146603600,668.6,677.65,658.35,667.2,5501,5091.75
1146690000,667.2,680.2,661.05,679.3,6024,5048.9
1146776400,679.3,685.3,675.2,683.55,5782,4992
1147035600,683.55,686.25,671.65,678.9,5286,4956.8
1147122000,678.9,700.7,678.3,700.6,4930,4849.15
1147208400,700.6,708.9,693.9,708.2,5661,4828.5
1147294800,708.2,726.45,704.25,714.25,5938,4803.3
1147381200,714.25,730.45,708.5,715.05,5584,5076.7
1147640400,715.05,720.35,676.6,677.4,5442,5167.15
1147726800,677.4,693.2,674.7,690.2,5393,5146.6
1147813200,690.2,716.5,685.1,687.15,5937,5092.85
1147899600,687.15,694.9,678.6,682.65,5607,5060.45
1147986000,682.65,689.3,650.9,658.45,5745,5186.9
1148245200,658.45,661.45,636.5,655.85,4008,5140
1148331600,655.85,674.7,651.45,666.3,4743,5192.15
1148418000,666.3,670.75,636.1,640.6,5448,5272.55
1148504400,640.6,652.2,638.6,651.25,4187,5275.95
1148590800,651.25,655.55,640.7,653.75,3249,5194.8
1148850000,653.75,654.6,649.95,649.95,1089,5067.95
1148936400,649.95,665.35,648.55,652.75,4163,4985.85
1149022800,652.75,660,638.8,645.1,4304,4926
1149109200,645.1,645.8,621,629.3,4290,4839.3
1149195600,629.3,639.2,619.3,638.15,4490,4774.7
1149454800,638.15,645.85,635.35,636.95,5236,4772.2
1149541200,636.95,639.35,625.85,630.75,4206,4736
1149627600,630.75,631.45,616.95,626.85,5444,4725.15
1149714000,626.85,627.95,607.95,612.9,6027,4729.6
1149800400,612.9,618,601.45,607.95,5650,4732.9
1150059600,607.95,612.05,602.85,604.6,3656,4643.6
1150146000,604.6,605.45,561.45,562.95,5193,4633.6
1150232400,562.95,571.5,542.25,559.75,4086,4541.05
1150318800,559.75,578.85,554.25,576.25,4322,4476.8
1150405200,576.25,584.8,567.05,581.15,3275,4353.3
1150664400,581.15,581.15,564.35,565.35,4668,4386.3
1150750800,565.35,578.4,561.2,575.85,5434,4420.85
1150837200,575.85,591.25,570.45,587.7,5411,4419
1150923600,587.7,595.15,579.4,581,4448,4432.05
1151010000,581,586.65,571.75,583.05,4656,4502.4
1151269200,583.05,587.4,577.45,585.05,5552,4725.55
1151355600,585.05,596.45,579,579,5890,4811.9
1151442000,579,587.05,577.05,580.5,3031,4748.25
1151528400,580.5,600.7,579.4,599.8,3406,4704.05
1151614800,599.8,616.55,597.5,615.85,3465,4652.8
1151874000,615.85,625.05,615.8,623.8,715,4426.75
1151960400,623.8,623.85,617.2,621.85,389,4235.9
1152046800,621.85,630.6,617.45,628.1,3880,4157.7
1152133200,628.1,635.05,622.95,632.95,3886,4050.65
1152219600,632.95,637.7,627.6,629.25,5090,4022.65
1152478800,629.25,632.5,620.6,624.25,4073,4043.5
1152565200,624.25,643.45,621.7,641.15,4055,3986.6
1152651600,641.15,655.5,639.3,651.9,4717,4018.15
1152738000,651.9,660.45,644.8,659.85,5571,4080.6
1152824400,659.85,667.8,659.4,664.15,4212,4127.45
1153083600,664.15,677.15,640.95,643.25,4017,4094.9
1153170000,643.25,654.8,627.7,633.2,4786,4062.5
1153256400,633.2,646.6,618.1,642.9,4264,4005.15
1153342800,642.9,645.7,627.9,629.3,3728,3969.15
1153429200,629.3,637.7,615.75,619.75,4431,3957.9
1153688400,619.75,621.5,602.35,615.1,4437,3902.15
1153774800,615.1,624.2,610.05,619.05,3678,3791.55
1153861200,619.05,627.5,613.15,624.6,3409,3810.45
1153947600,624.6,641.6,622.3,634.4,2952,3787.75
1154034000,634.4,638.75,626.3,634.75,2625,3745.75
1154293200,634.75,639.8,628.95,636.65,2727,3846.35
1154379600,636.65,648.45,630.65,647.2,2963,3975.05
1154466000,647.2,656.3,645.5,651.35,3399,3951
1154552400,651.35,653.1,639.1,645.05,3224,3917.9
1154638800,645.05,654.75,643.75,646.45,4565,3891.65
1154898000,646.45,652.15,645.55,648.7,5977,3986.85
1154984400,648.7,649.45,641.4,642.5,5228,4045.5
1155070800,642.5,655.2,635.4,650.1,6716,4145.45
1155157200,650.1,654.1,634.75,636.5,6309,4182.35
1155243600,636.5,645.35,626.35,632.55,5936,4268.55
1155502800,632.55,633.55,624,626.8,8262,4480.8
1155589200,626.8,628.85,620.8,624.9,4981,4490.55
1155675600,624.9,632.8,624,628.9,5810,4567.85
1155762000,628.9,632.3,613.7,614,5499,4656.4
1155848400,614,619.35,607.15,614.85,5037,4686.7
1156107600,614.85,628.7,613.75,627.9,5306,4730.15
1156194000,627.9,629.55,620.7,624.9,5950,4843.75
1156280400,624.9,630.85,621.8,622.1,6723,5009.45
1156366800,622.1,626.65,619.3,622,9424,5333.05
1156453200,622,624.65,618.2,622.65,8011,5602.35
1156712400,622.65,623.95,612.75,614.9,2841,5608.05
1156798800,614.9,618,607.3,615.1,10630,5991.4
1156885200,615.1,621,612.8,618.9,6512,6147.05
1156971600,618.9,627.3,618,627,7748,6373.25
1157058000,627,627.55,619.25,626.15,6354,6462.7
1157317200,626.15,628.1,626.05,626.35,1968,6262.25
1157403600,626.35,640.45,626.35,638.35,9211,6461.4
1157490000,638.35,640.35,631.25,633.75,8188,6535
1157576400,633.75,636.35,614.05,616.6,10121,6725.6
1157662800,616.6,619.5,606.5,610.75,10018,6929.7
1157922000,610.75,612.75,583.1,588.75,14533,7243.25
1158008400,588.75,600.05,584.55,587.15,7805,7384.45
1158094800,587.15,593.7,579,589.95,8988,7543.35
1158181200,589.95,595.3,574.8,575.2,8093,7673.05
1158267600,575.2,582.4,570.9,579.55,8201,7831.25
1158526800,579.55,588.3,578.3,587.2,6860,7908.95
1158613200,587.2,589.2,572.55,573.5,7459,7984.4
1158699600,573.5,586.5,572.2,576.7,6432,7969.85
1158786000,576.7,585.4,574.7,584.2,8428,7920.05
1158872400,584.2,592.7,584.2,589.65,4638,7751.4
1159131600,589.65,592,582.3,590.7,6362,7927.45
1159218000,590.7,594,586.1,591.8,7358,7763.85
1159304400,591.8,603.65,589.8,603,10775,7977
1159390800,603,607.1,600.4,601.1,6960,7937.6
1159477200,601.1,603.8,594.4,598.25,6459,7942.85
1159736400,598.25,604.15,594.75,596.7,7024,8195.65
1159822800,596.7,598.5,573.8,574.8,11282,8299.2
1159909200,574.8,581.15,559.7,566.9,10236,8401.6
1159995600,566.9,574.85,562.5,574.3,9422,8366.65
1160082000,574.3,574.3,560.75,574.05,7301,8230.8
1160341200,574.05,581.15,571.75,577.2,8793,7943.8
1160427600,577.2,581.75,569.35,572.9,13275,8217.3
1160514000,572.9,579.35,570.35,573.3,13516,8443.7
1160600400,573.3,579.2,571.25,579.1,15132,8795.65
1160686800,579.1,590.55,577.15,590.45,16024,9186.8
1160946000,590.45,596.45,590.15,595.9,13735,9530.55
1161032400,595.9,597.9,586.15,590.3,14999,9907.55
1161118800,590.3,595.35,587.45,590.3,14808,10326.35
1161205200,590.3,600.95,586.35,599.5,13833,10596.6
1161291600,599.5,602.75,591.55,591.55,14295,11079.45
1161550800,591.55,593.85,579.95,582.1,14897,11506.2
1161637200,582.1,586.75,572.95,586.3,16159,11946.25
1161723600,586.3,592,580.05,590.9,14355,12125.25
1161810000,590.9,598.95,590.15,597.2,14213,12487.9
1161896400,597.2,600.35,591.95,600.05,12881,12809
1162159200,600.05,611.05,598.55,604.2,15651,13240.35
1162245600,604.2,607.75,598.25,607,15212,13436.85
1162332000,607,619.8,605.9,617.5,17133,13781.7
1162418400,617.5,626.25,614.45,624.5,15256,14073.4
1162504800,624.5,629.35,617.45,627.55,13820,14399.35
1162764000,627.55,630.25,622.65,623.2,13159,14617.65
1162850400,623.2,629.25,622.1,625.1,13777,14642.75
1162936800,625.1,627.05,613.55,615.9,16290,14781.45
1163023200,615.9,635.95,615.35,633.4,17080,14878.85
1163109600,633.4,636.9,625.35,628.55,17684,14961.85
1163368800,628.55,632.9,613.95,625.6,14566,15003.4
1163455200,625.6,629.55,619,621.1,16175,15062.2
1163541600,621.1,624.95,615.65,622.75,16414,15142.5
1163628000,622.75,628.55,618.1,618.4,15473,15224.5
1163714400,618.4,622.55,614.55,621.95,13656,15192.55
1163973600,621.95,627.25,620.45,622.7,11960,15045.7
1164060000,622.7,629.15,622.4,627.4,12390,14857.25
1164146400,627.4,634.95,626.15,630.1,11206,14699.8
1164232800,630.1,632.25,628.55,631,2093,14093.8
1164319200,631,640.15,630.7,637.95,7804,13839.95
1164578400,637.95,642.1,636.95,640.5,12043,13659.55
1164664800,640.5,642.1,633.05,640,12737,13535.8
1164751200,640,641.25,634.75,636.4,13285,13343.4
1164837600,636.4,648.95,636.4,648,14840,13322.6
1164924000,648,650.15,643.95,645.55,14560,13359.6
1165183200,645.55,648.45,640.85,646.1,12425,13322.9
1165269600,646.1,649.1,638.95,642.9,17460,13507.05
1165356000,642.9,643,628.55,630.6,17526,13568.85
1165442400,630.6,634,624.8,633.2,17039,13566.8
1165528800,633.2,638.25,623.4,624.45,11845,13274.85
1165788000,624.45,631.85,623.65,630.5,13179,13205.5
1165874400,630.5,631.4,627,630.1,12690,13031.25
1165960800,630.1,630.75,623.75,628.4,12051,12813.1
1166047200,628.4,629.7,625.25,625.8,13036,12691.25
1166133600,625.8,629.35,614.75,615.35,11387,12577.8
1166392800,615.35,618.55,611.85,616.15,8780,12418.8
1166479200,616.15,622.95,615.05,622.75,9130,12255.8
1166565600,622.75,624.55,618.75,620.55,11773,12284.15
1166652000,620.55,622.55,617.95,618.4,10196,12689.3
1166738400,618.4,622.05,618.4,621.05,8132,12705.7
1166997600,621.05,621.05,620.65,620.65,3,12103.7
1167084000,620.65,629.7,620.65,624.95,3475,11640.6
1167170400,624.95,629.4,624.2,627.15,7654,11359.05
1167256800,627.15,636,626.75,634.85,7818,11007.95
1167343200,634.85,636.85,632,636.65,6809,10620.4
1167688800,636.65,641.25,636.55,640.15,4793,10238.8
1167775200,640.15,645.25,625.45,627.6,10554,9893.5
1167861600,627.6,630.95,620.85,621.7,10229,9528.65
1167948000,621.7,626.4,602.35,607.35,10883,9220.85
1168207200,607.35,611.15,604.15,610.2,8133,9035.25
1168293600,610.2,615.75,606.2,613.6,9668,8859.7
1168380000,613.6,614.5,605.95,611.2,11358,8793.1
1168466400,611.2,616.15,609.15,611.45,8893,8635.2
1168552800,611.45,627.75,609.95,627.05,9132,8440
1168812000,627.05,628.2,625.1,626.4,4376,8089.45
1168898400,626.4,628.15,623.15,624.6,9793,8140.1
1168984800,624.6,633.9,620.25,632.05,10631,8215.15
1169071200,632.05,636.6,627.05,627.25,10411,8147.05
1169157600,627.25,636.4,626.8,635.25,9403,8107.4
1169416800,635.25,639.95,632.35,633.15,8282,8114.9
1169503200,633.15,647.85,633.1,646.6,8741,8551.8
1169589600,646.6,648.95,639.05,648.6,9996,8877.85
1169676000,648.6,654.8,645.65,646.2,11714,9080.85
1169762400,646.2,648.1,641.1,646.05,10252,9202.55
1170021600,646.05,648.05,641.2,643.85,8590,9291.6
1170108000,643.85,647.55,640.9,647.1,8290,9466.45
1170194400,647.1,654.75,642.3,652.8,9337,9405.6
1170280800,652.8,661.4,652,657.3,9344,9361.35
1170367200,657.3,659.8,643.45,647.75,9090,9271.7
1170626400,647.75,652.4,646.3,648.55,7521,9241.1
1170712800,648.55,658.5,648.05,653.45,9057,9210.55
1170799200,653.45,656.9,650.55,651.55,8710,9078.15
1170885600,651.55,661.45,648,660.35,10321,9149.55
1170972000,660.35,669,657.2,666.85,9922,9189.05
1171231200,666.85,668.55,659.9,661.15,10625,9501.5
1171317600,661.15,669.3,660.75,664.25,9446,9484.15
1171404000,664.25,672,663.75,669.15,9893,9447.25
1171490400,669.15,670.8,662.8,669.45,9770,9415.2
1171576800,669.45,669.95,662.9,669.15,9661,9428.1
1171836000,669.15,673.45,669.05,670.7,3865,9207.25
1171922400,670.7,672.05,656,657.3,8779,9209.15
1172008800,657.3,682.7,657.1,678.85,13337,9376.2
1172095200,678.85,681.2,675.6,677.35,14038,9492.4
1172181600,677.35,688.05,672.95,682.65,17185,9839.05
1172440800,682.65,688.35,681.1,686.35,14352,10127.15
1172527200,686.35,688.8,658.13,663.4,24197,10922.5
1172613600,663.4,677.6,661.5,669.3,22742,11592.75
1172700000,669.3,677.35,662.05,664.4,21037,12177.4
1172786400,664.4,665.9,639.95,642.35,20018,12723.8
1173045600,642.35,645.05,633.55,636.55,22049,13450.2
1173132000,636.55,648.05,632.8,646.55,19181,13956.4
1173218400,646.55,651.85,643,649,14059,14223.85
1173304800,649,655.8,647.7,651.85,16901,14552.85
1173391200,651.85,658.25,647.7,649.4,12679,14690.7
1173646800,649.4,654.25,645.8,650.55,12952,14807.05
1173733200,650.55,652.65,641.93,643.75,13402,15004.85
1173819600,643.75,646.05,636.95,644.4,16502,15335.3
1173906000,644.4,650.3,643.6,646.45,6742,15183.9
1173992400,646.45,655.4,646.2,653.4,13726,15387.15
1174251600,653.4,656.4,652.1,654,9959,15691.85
1174338000,654,661.2,652.8,658.5,11812,15843.5
1174424400,658.5,664.2,657.15,664.1,11442,15748.75
1174510800,664.1,666.8,661.95,663.75,11503,15622
1174597200,663.75,664.75,655.45,657.4,11807,15353.1
1174856400,657.4,665.08,657.2,663.9,10364,15153.7
1174942800,663.9,665.75,661.65,664.8,11025,14495.1
1175029200,664.8,669.45,663.7,665.65,11635,13939.75
1175115600,665.65,666.2,655.75,661.75,12013,13488.55
1175202000,661.75,667.9,660.9,663.85,11388,13057.05
1175461200,663.85,666.35,656.6,663.9,10180,12463.6
1175547600,663.9,667.78,662.05,664.15,15031,12256.1
1175634000,664.15,675.6,663.65,673.9,13299,12218.1
1175720400,673.9,675.6,671.8,674.65,10789,11912.5
1175806800,674.65,674.9,673.1,673.2,706,11313.85
1176066000,673.2,677.95,665.41,671.35,7291,11030.8
1176152400,671.35,681.6,671.25,677.85,11862,10953.8
1176238800,677.85,680.75,674.68,677.25,12645,10760.95
1176325200,677.25,679.9,671.8,675.9,13940,11120.85
1176411600,675.9,685.8,675.6,685.1,8562,10862.65
1176670800,685.1,691.2,683.15,690.2,13553,11042.35
1176757200,690.2,691.2,686.3,686.65,14920,11197.75
1176843600,686.65,690.9,686,689.95,14183,11334.8
1176930000,689.95,691.75,679.68,682.8,16566,11587.95
1177016400,682.8,693.8,682.6,691.75,11059,11550.55
1177275600,691.75,693.95,687.14,689.1,12785,11671.6
1177362000,689.1,692.05,681.2,684.05,16940,11967.35
1177448400,684.05,686.85,682.35,686,14311,12101.15
1177534800,686,686.87,671.7,674.8,15936,12297.3
1177621200,674.8,682.05,670.9,681.55,16233,12539.55
1177880400,681.55,681.8,676.08,678.55,6385,12349.8
1177966800,678.55,679.4,672,673.55,6686,11932.55
1178053200,673.55,675.2,667.76,673.05,13357,11935.45
1178139600,673.05,682.55,672.25,681.95,12521,12022.05
1178226000,681.95,690.75,680.35,688.8,12713,12622.4
1178485200,688.8,690.95,686.65,688.8,6481,12581.9
